time,X,Y,Z,dE,dN,dU,d3,n_sat
2004-05-03 23:06:30,753543450.2823524,240721365.40925956,-6129664781.184162,671619244.5297388,-418288634.134078,-6136518693.795011,6187317631.28127,4
2004-05-03 23:06:40,387735889.4135088,395146118.3276212,-1687409639.5411608,552387753.2638484,-39545941.27622002,-1694263552.1520095,1782477235.640907,4
2004-05-03 23:06:50,-1894609948.1632338,-2215045052.8733582,3201921641.5661163,-2914574518.980686,9168279.978297949,3195067728.9552674,4324729642.0308895,4
2004-05-03 23:07:00,246363427.24910837,104547473.77990568,-2679368043.566008,239405125.9784752,-120017180.16900413,-2686221956.176857,2699538356.0392523,4
2004-05-03 23:07:10,-7711849779.600186,6465342014.3078,73124395450.64685,-67617508.78819114,10063233859.367481,73117541538.036,73806829822.19351,4
2004-05-03 23:07:20,-840167179.4530647,-1235478276.5130754,2200158071.5008974,-1485305215.9324427,-159917145.76275146,2193304158.8900485,2653730998.3096266,5
2004-05-03 23:07:30,3101748631.6561546,41105501040.46679,-100525833542.73235,33330275095.989536,24256728760.80885,-100532687455.3432,108655958765.00981,6
2004-05-03 23:07:40,-10809883429.249756,-924845822.6231036,3447931478.601761,-7705062676.486746,7637925617.1268015,3441077565.9909124,11381867746.398956,6
2004-05-03 23:07:50,47323955.16814184,-3134815598.496935,-7295749284.821186,-2357807996.8991575,-2066186191.2852888,-7302603197.4320345,7947099935.60193,6
2004-05-03 23:08:00,781546440.2838554,1904005951.9185486,-33259002618.678032,1957135543.665248,637527461.5120057,-33265856531.28888,33329476916.998783,6
2004-05-03 23:08:10,-13550673463.116177,-3662248815.4457865,-6339224155.41417,-11565848562.05211,7953579701.015074,-6346078068.025018,15404576912.923965,6
2004-05-03 23:08:20,2483945002.708662,-4495047070.770514,11657294275.889671,-1816299178.5006046,-4803725229.742569,11650440363.278822,12732143552.717415,6
2004-05-03 23:08:30,-56003135756.04553,-59072885189.00448,116250876967.43579,-81279856497.51163,4417017015.295883,116244023054.82494,141910528177.22922,6
2004-05-03 23:08:40,-1162698577.0599146,-2101045261.8814564,5503546290.611891,-2353719062.0716066,-474702946.642841,5496692378.001042,5998246694.583793,6
2004-05-03 23:08:50,-7588725134.915405,-31471951178.186157,-146594862202.5963,-28895152738.99805,-14599016382.7006,-146601716115.20715,150133688088.5705,6
2004-05-03 23:09:00,-64884039476.76181,-58384480634.131836,361666069381.5074,-86506639117.89339,11629859393.10205,361659215468.89655,372043062527.1146,6
2004-05-03 23:09:10,-120953413965.90936,-105260749916.15695,313596755058.43384,-158536071049.16788,23995954696.91942,313589901145.823,352204653243.21094,6
2004-05-03 23:09:20,14164762401.233543,16720436673.810028,-22191517198.473877,21913942106.473362,35065339.31079674,-22198371111.084724,31192783912.45847,6
2004-05-03 23:09:30,3747149055.540322,4549740775.50992,-13199452135.97054,5893662627.210046,91206906.43618536,-13206306048.581388,14462022587.17471,6
2004-05-03 23:09:40,3358138061.0504913,4597896874.412796,-8353078433.406715,5678430379.975428,418809781.0356717,-8359932346.017564,10114763568.314869,6
2004-05-03 23:09:50,-8716225272.55975,-18115349334.860542,1117322737.0223827,-19447931410.12188,-5090069094.764647,1110468824.4115353,20133652935.626793,6
2004-05-03 23:10:00,4507970569.915817,11486304608.809994,4827307146.261471,11671864171.977186,4003642733.1602345,4820453233.650621,13247578562.200874,6
2004-05-03 23:10:10,1541175015.9203691,-2264960882.3533006,-15841091553.671852,-727572943.9853272,-2641140007.829641,-15847945466.282701,16082983505.309214,6
2004-05-03 23:10:20,-64454445027.23895,-62917880201.77481,222076249951.5064,-89682768460.99107,8366660743.482285,222069396038.89557,239641016163.561,6
